created_at,updated_at,datetime,zone_key,production,capacity,source
2024-06-01 01:05:06.934835 +00:00,2024-06-01 22:24:57.984572 +00:00,2024-06-01 00:00:00.000000 +00:00,DE,"(4941,6022,3296,22,2045,,373,0,181,10914,,30)",,entsoe.eu
2024-06-01 01:25:12.142551 +00:00,2024-06-01 22:24:57.984572 +00:00,2024-06-01 00:15:00.000000 +00:00,DE,"(4949,5934,3332,22,2074,,378,0,181,11118,,199)",,entsoe.eu
2024-06-01 01:25:12.142551 +00:00,2024-06-01 22:24:57.984572 +00:00,2024-06-01 00:30:00.000000 +00:00,DE,"(4948,5880,3349,22,2098,,375,0,181,11273,,262)",,entsoe.eu
2024-06-01 01:45:04.850232 +00:00,2024-06-01 22:24:57.984572 +00:00,2024-06-01 00:45:00.000000 +00:00,DE,"(4925,5726,3350,22,2068,,374,0,181,11517,,337)",,entsoe.eu
2024-06-01 02:04:56.250961 +00:00,2024-06-01 22:24:57.984572 +00:00,2024-06-01 01:00:00.000000 +00:00,DE,"(4867,5473,3241,22,2048,,375,0,181,11417,,229)",,entsoe.eu
2024-06-01 02:25:13.062272 +00:00,2024-06-01 22:24:57.984572 +00:00,2024-06-01 01:15:00.000000 +00:00,DE,"(4819,5231,3220,22,2068,,374,0,181,11412,,386)",,entsoe.eu
2024-06-01 02:25:13.062272 +00:00,2024-06-01 22:24:57.984572 +00:00,2024-06-01 01:30:00.000000 +00:00,DE,"(4847,5141,3243,22,2147,,374,0,181,11360,,650)",,entsoe.eu
2024-06-01 02:45:12.782429 +00:00,2024-06-01 22:24:57.984572 +00:00,2024-06-01 01:45:00.000000 +00:00,DE,"(4897,4971,3264,22,2081,,375,0,181,11260,,509)",,entsoe.eu
2024-06-01 03:04:56.541101 +00:00,2024-06-01 22:24:57.984572 +00:00,2024-06-01 02:00:00.000000 +00:00,DE,"(4927,4980,3259,22,2003,,375,0,181,11267,,156)",,entsoe.eu
2024-06-01 03:25:07.727076 +00:00,2024-06-01 22:24:57.984572 +00:00,2024-06-01 02:15:00.000000 +00:00,DE,"(4962,5119,3258,22,2007,,374,0,181,11219,,256)",,entsoe.eu
2024-06-01 03:25:07.727076 +00:00,2024-06-01 22:24:57.984572 +00:00,2024-06-01 02:30:00.000000 +00:00,DE,"(4948,5162,3259,22,2005,,374,5,177,11267,,276)",,entsoe.eu
2024-06-01 03:45:05.612636 +00:00,2024-06-01 22:24:57.984572 +00:00,2024-06-01 02:45:00.000000 +00:00,DE,"(4952,5292,3225,22,2006,,375,11,177,11216,,345)",,entsoe.eu
2024-06-01 04:05:02.994921 +00:00,2024-06-01 22:24:57.984572 +00:00,2024-06-01 03:00:00.000000 +00:00,DE,"(4942,5378,3117,22,2005,,374,79,177,11348,,248)",,entsoe.eu
2024-06-01 04:25:06.417262 +00:00,2024-06-01 22:24:57.984572 +00:00,2024-06-01 03:15:00.000000 +00:00,DE,"(4955,5340,3107,22,2004,,375,225,177,11446,,550)",,entsoe.eu
2024-06-01 04:25:06.417262 +00:00,2024-06-01 22:45:03.923771 +00:00,2024-06-01 03:30:00.000000 +00:00,DE,"(4960,5396,3152,22,1998,,374,367,177,11369,,694)",,entsoe.eu
2024-06-01 04:44:58.809789 +00:00,2024-06-01 22:45:03.923771 +00:00,2024-06-01 03:45:00.000000 +00:00,DE,"(4975,5401,3148,22,2033,,374,572,177,11308,,595)",,entsoe.eu
