created_at,updated_at,datetime,zone_key,production,capacity,source
2024-06-01 02:04:56.250961 +00:00,2024-06-01 02:04:56.250961 +00:00,2024-06-01 00:00:00.000000 +00:00,DK-DK1,"(69,297,57,,1,,10,0,1,494,,)",,entsoe.eu
2024-06-01 03:04:56.541101 +00:00,2024-06-01 03:04:56.541101 +00:00,2024-06-01 01:00:00.000000 +00:00,DK-DK1,"(68,192,55,,1,,9,0,1,437,,)",,entsoe.eu
2024-06-01 04:05:02.994921 +00:00,2024-06-01 04:05:02.994921 +00:00,2024-06-01 02:00:00.000000 +00:00,DK-DK1,"(68,174,58,,1,,8,2,1,456,,)",,entsoe.eu
2024-06-01 05:05:06.745786 +00:00,2024-06-01 05:05:06.745786 +00:00,2024-06-01 03:00:00.000000 +00:00,DK-DK1,"(69,196,54,,1,,8,57,1,480,,)",,entsoe.eu
2024-06-01 06:08:52.687843 +00:00,2024-06-01 06:08:52.687843 +00:00,2024-06-01 04:00:00.000000 +00:00,DK-DK1,"(68,171,54,,1,,8,215,1,618,,)",,entsoe.eu
2024-06-01 07:06:17.184184 +00:00,2024-06-01 07:06:17.184184 +00:00,2024-06-01 05:00:00.000000 +00:00,DK-DK1,"(66,182,58,,1,,8,566,1,696,,)",,entsoe.eu
2024-06-01 08:05:02.164159 +00:00,2024-06-01 08:05:02.164159 +00:00,2024-06-01 06:00:00.000000 +00:00,DK-DK1,"(65,199,57,,1,,8,1034,1,638,,)",,entsoe.eu
2024-06-01 09:05:10.928792 +00:00,2024-06-01 09:05:10.928792 +00:00,2024-06-01 07:00:00.000000 +00:00,DK-DK1,"(63,240,50,,1,,9,1464,1,447,,)",,entsoe.eu
2024-06-01 10:05:01.156978 +00:00,2024-06-01 10:05:01.156978 +00:00,2024-06-01 08:00:00.000000 +00:00,DK-DK1,"(63,271,48,,1,,9,1788,1,370,,)",,entsoe.eu
2024-06-01 11:05:34.216934 +00:00,2024-06-01 11:05:34.216934 +00:00,2024-06-01 09:00:00.000000 +00:00,DK-DK1,"(77,170,42,,1,,7,2028,1,431,,)",,entsoe.eu
2024-06-01 12:05:06.233214 +00:00,2024-06-01 12:05:06.233214 +00:00,2024-06-01 10:00:00.000000 +00:00,DK-DK1,"(78,168,44,,1,,7,2182,1,416,,)",,entsoe.eu
2024-06-01 13:05:02.201219 +00:00,2024-06-01 13:05:02.201219 +00:00,2024-06-01 11:00:00.000000 +00:00,DK-DK1,"(78,160,48,,1,,7,2159,1,474,,)",,entsoe.eu
2024-06-01 14:04:53.554123 +00:00,2024-06-01 14:04:53.554123 +00:00,2024-06-01 12:00:00.000000 +00:00,DK-DK1,"(78,160,43,,1,,7,1918,1,643,,)",,entsoe.eu
2024-06-01 15:04:59.347106 +00:00,2024-06-01 15:04:59.347106 +00:00,2024-06-01 13:00:00.000000 +00:00,DK-DK1,"(76,163,52,,1,,7,1836,1,1055,,)",,entsoe.eu
2024-06-01 16:05:04.090612 +00:00,2024-06-01 16:05:04.090612 +00:00,2024-06-01 14:00:00.000000 +00:00,DK-DK1,"(77,167,54,,1,,8,1460,1,1408,,)",,entsoe.eu
2024-06-01 17:05:12.508082 +00:00,2024-06-01 17:05:12.508082 +00:00,2024-06-01 15:00:00.000000 +00:00,DK-DK1,"(53,227,49,,1,,9,1090,1,1415,,)",,entsoe.eu
2024-06-01 18:05:05.486832 +00:00,2024-06-01 18:05:05.486832 +00:00,2024-06-01 16:00:00.000000 +00:00,DK-DK1,"(62,233,54,,1,,9,794,1,1339,,)",,entsoe.eu
2024-06-01 19:08:29.238547 +00:00,2024-06-01 19:08:29.238547 +00:00,2024-06-01 17:00:00.000000 +00:00,DK-DK1,"(63,232,56,,1,,9,424,1,1375,,)",,entsoe.eu
2024-06-01 20:05:03.039111 +00:00,2024-06-01 20:05:03.039111 +00:00,2024-06-01 18:00:00.000000 +00:00,DK-DK1,"(63,200,55,,1,,9,160,1,1275,,)",,entsoe.eu
2024-06-01 21:05:09.671211 +00:00,2024-06-01 21:05:09.671211 +00:00,2024-06-01 19:00:00.000000 +00:00,DK-DK1,"(63,178,54,,1,,9,34,1,1197,,)",,entsoe.eu
2024-06-01 22:05:04.142085 +00:00,2024-06-01 22:05:04.142085 +00:00,2024-06-01 20:00:00.000000 +00:00,DK-DK1,"(63,173,55,,1,,9,0,1,1255,,)",,entsoe.eu
2024-06-01 23:05:21.552620 +00:00,2024-06-01 23:05:21.552620 +00:00,2024-06-01 21:00:00.000000 +00:00,DK-DK1,"",,entsoe.eu
2024-06-02 00:05:05.955799 +00:00,2024-06-02 00:05:05.955799 +00:00,2024-06-01 22:00:00.000000 +00:00,DK-DK1,"",,entsoe.eu
2024-06-02 01:05:19.029112 +00:00,2024-06-02 01:05:19.029112 +00:00,2024-06-01 23:00:00.000000 +00:00,DK-DK1,"(78,40,54,,1,,8,0,1,1265,,)",,entsoe.eu
2024-06-02 02:05:03.172629 +00:00,2024-06-02 02:05:03.172629 +00:00,2024-06-02 00:00:00.000000 +00:00,DK-DK1,"(76,41,55,,1,,8,0,1,1383,,)",,entsoe.eu
2024-06-02 03:05:04.911407 +00:00,2024-06-02 03:05:04.911407 +00:00,2024-06-02 01:00:00.000000 +00:00,DK-DK1,"(72,43,54,,1,,8,0,1,1339,,)",,entsoe.eu
2024-06-02 04:05:16.398701 +00:00,2024-06-02 04:05:16.398701 +00:00,2024-06-02 02:00:00.000000 +00:00,DK-DK1,"(69,45,54,,1,,9,1,1,1327,,)",,entsoe.eu
2024-06-02 05:05:26.072004 +00:00,2024-06-02 05:05:26.072004 +00:00,2024-06-02 03:00:00.000000 +00:00,DK-DK1,"(72,43,56,,1,,8,37,1,1348,,)",,entsoe.eu
2024-06-02 06:06:27.716114 +00:00,2024-06-02 06:06:27.716114 +00:00,2024-06-02 04:00:00.000000 +00:00,DK-DK1,"(67,46,57,,1,,9,141,1,1405,,)",,entsoe.eu
2024-06-02 07:05:14.364327 +00:00,2024-06-02 07:05:14.364327 +00:00,2024-06-02 05:00:00.000000 +00:00,DK-DK1,"(66,47,57,,1,,9,309,1,1478,,)",,entsoe.eu
2024-06-02 08:05:01.539267 +00:00,2024-06-02 08:05:01.539267 +00:00,2024-06-02 06:00:00.000000 +00:00,DK-DK1,"(65,48,57,,1,,9,636,1,1290,,)",,entsoe.eu
2024-06-02 09:06:32.231561 +00:00,2024-06-02 09:06:32.231561 +00:00,2024-06-02 07:00:00.000000 +00:00,DK-DK1,"(65,45,55,,1,,9,913,1,1295,,)",,entsoe.eu
2024-06-02 10:05:14.733273 +00:00,2024-06-02 10:05:14.733273 +00:00,2024-06-02 08:00:00.000000 +00:00,DK-DK1,"(65,45,46,,1,,9,1294,1,1371,,)",,entsoe.eu
2024-06-02 11:05:24.331530 +00:00,2024-06-02 11:05:24.331530 +00:00,2024-06-02 09:00:00.000000 +00:00,DK-DK1,"(65,45,46,,1,,9,1697,1,1382,,)",,entsoe.eu
2024-06-02 12:04:55.103674 +00:00,2024-06-02 12:04:55.103674 +00:00,2024-06-02 10:00:00.000000 +00:00,DK-DK1,"(75,39,43,,1,,8,1881,1,1371,,)",,entsoe.eu
2024-06-02 13:05:46.973094 +00:00,2024-06-02 13:05:46.973094 +00:00,2024-06-02 11:00:00.000000 +00:00,DK-DK1,"(86,39,49,,1,,7,1427,1,1298,,)",,entsoe.eu
2024-06-02 14:05:11.444604 +00:00,2024-06-02 14:05:11.444604 +00:00,2024-06-02 12:00:00.000000 +00:00,DK-DK1,"(86,38,53,,1,,7,1159,1,660,,)",,entsoe.eu
2024-06-02 15:05:15.458619 +00:00,2024-06-02 15:05:15.458619 +00:00,2024-06-02 13:00:00.000000 +00:00,DK-DK1,"(91,38,46,,1,,7,1060,1,709,,)",,entsoe.eu
2024-06-02 16:05:02.576358 +00:00,2024-06-02 16:05:02.576358 +00:00,2024-06-02 14:00:00.000000 +00:00,DK-DK1,"(76,38,42,,1,,7,1216,1,1170,,)",,entsoe.eu
2024-06-02 17:04:57.126014 +00:00,2024-06-02 17:04:57.126014 +00:00,2024-06-02 15:00:00.000000 +00:00,DK-DK1,"(73,41,45,,1,,8,1292,1,1862,,)",,entsoe.eu
2024-06-02 18:05:08.589406 +00:00,2024-06-02 18:05:08.589406 +00:00,2024-06-02 16:00:00.000000 +00:00,DK-DK1,"(64,45,48,,1,,9,876,1,2128,,)",,entsoe.eu
2024-06-02 19:05:12.155291 +00:00,2024-06-02 19:05:12.155291 +00:00,2024-06-02 17:00:00.000000 +00:00,DK-DK1,"(64,45,53,,1,,9,444,1,2258,,)",,entsoe.eu
2024-06-02 20:04:54.867771 +00:00,2024-06-02 20:04:54.867771 +00:00,2024-06-02 18:00:00.000000 +00:00,DK-DK1,"(63,47,55,,1,,9,172,1,2477,,)",,entsoe.eu
2024-06-02 21:05:06.366178 +00:00,2024-06-02 21:05:06.366178 +00:00,2024-06-02 19:00:00.000000 +00:00,DK-DK1,"(62,46,55,,1,,9,29,1,2709,,)",,entsoe.eu
2024-06-02 22:05:00.536187 +00:00,2024-06-02 22:05:00.536187 +00:00,2024-06-02 20:00:00.000000 +00:00,DK-DK1,"(65,48,56,,1,,9,0,1,2641,,)",,entsoe.eu
2024-06-02 23:04:58.484202 +00:00,2024-06-02 23:04:58.484202 +00:00,2024-06-02 21:00:00.000000 +00:00,DK-DK1,"(65,48,56,,1,,9,0,1,2578,,)",,entsoe.eu
2024-06-03 00:05:02.451342 +00:00,2024-06-03 00:05:02.451342 +00:00,2024-06-02 22:00:00.000000 +00:00,DK-DK1,"(64,46,52,,1,,9,0,1,2620,,)",,entsoe.eu
2024-06-03 01:05:12.697628 +00:00,2024-06-03 01:05:12.697628 +00:00,2024-06-02 23:00:00.000000 +00:00,DK-DK1,"(65,47,51,,1,,9,0,1,2661,,)",,entsoe.eu
