created_at,updated_at,datetime,zone_key,production,capacity,source
2024-06-01 01:45:04.850232 +00:00,2024-06-01 01:45:04.850232 +00:00,2024-06-01 00:00:00.000000 +00:00,FR,"(551,0,391,,7889,34647,121,0,,5825,,820)",,entsoe.eu
2024-06-01 02:45:12.782429 +00:00,2024-06-01 02:45:12.782429 +00:00,2024-06-01 01:00:00.000000 +00:00,FR,"(552,0,426,,7734,34052,123,0,,5480,,1374)",,entsoe.eu
2024-06-01 03:45:05.612636 +00:00,2024-06-01 03:45:05.612636 +00:00,2024-06-01 02:00:00.000000 +00:00,FR,"(554,0,441,,7809,33194,125,0,,5507,,1742)",,entsoe.eu
2024-06-01 04:44:58.809789 +00:00,2024-06-01 04:44:58.809789 +00:00,2024-06-01 03:00:00.000000 +00:00,FR,"(553,0,437,,7502,32435,124,0,,5666,,2241)",,entsoe.eu
2024-06-01 05:44:54.980814 +00:00,2024-06-01 05:44:54.980814 +00:00,2024-06-01 04:00:00.000000 +00:00,FR,"(546,0,437,,7620,32532,125,402,,5616,,2111)",,entsoe.eu
2024-06-01 06:45:02.300028 +00:00,2024-06-01 06:45:02.300028 +00:00,2024-06-01 05:00:00.000000 +00:00,FR,"(547,0,436,,7727,32572,125,1266,,5634,,1449)",,entsoe.eu
2024-06-01 07:45:28.327679 +00:00,2024-06-01 07:45:28.327679 +00:00,2024-06-01 06:00:00.000000 +00:00,FR,"(549,0,429,,7667,32419,125,3224,,5700,,1290)",,entsoe.eu
2024-06-01 09:05:10.928792 +00:00,2024-06-01 09:05:10.928792 +00:00,2024-06-01 07:00:00.000000 +00:00,FR,"(550,0,422,,7915,32030,125,5342,,5759,,1052)",,entsoe.eu
2024-06-01 09:44:59.960898 +00:00,2024-06-01 09:44:59.960898 +00:00,2024-06-01 08:00:00.000000 +00:00,FR,"(544,0,434,,8652,31326,124,4891,,4035,,-77)",,entsoe.eu
2024-06-01 11:05:34.216934 +00:00,2024-06-01 11:05:34.216934 +00:00,2024-06-01 09:00:00.000000 +00:00,FR,"(545,0,452,,8353,31352,125,5757,,4257,,-1)",,entsoe.eu
2024-06-01 11:44:56.531433 +00:00,2024-06-01 11:44:56.531433 +00:00,2024-06-01 10:00:00.000000 +00:00,FR,"(541,0,450,,7518,30675,125,7925,,5455,,560)",,entsoe.eu
2024-06-01 12:45:05.944956 +00:00,2024-06-01 12:45:05.944956 +00:00,2024-06-01 11:00:00.000000 +00:00,FR,"(538,0,449,,7507,30878,125,6301,,4325,,1030)",,entsoe.eu
2024-06-01 13:45:04.238025 +00:00,2024-06-01 13:45:04.238025 +00:00,2024-06-01 12:00:00.000000 +00:00,FR,"(543,0,462,,6846,31176,125,6046,,4520,,2005)",,entsoe.eu
2024-06-01 14:45:10.130600 +00:00,2024-06-01 14:45:10.130600 +00:00,2024-06-01 13:00:00.000000 +00:00,FR,"(548,0,446,,6690,31142,125,5776,,4746,,2256)",,entsoe.eu
2024-06-01 15:45:06.752915 +00:00,2024-06-01 15:45:06.752915 +00:00,2024-06-01 14:00:00.000000 +00:00,FR,"(543,0,440,,6746,31384,125,4966,,4768,,2327)",,entsoe.eu
2024-06-01 16:44:52.908428 +00:00,2024-06-01 16:44:52.908428 +00:00,2024-06-01 15:00:00.000000 +00:00,FR,"(542,0,443,,7015,32005,125,3971,,4815,,1912)",,entsoe.eu
2024-06-01 17:45:12.337000 +00:00,2024-06-01 17:45:12.337000 +00:00,2024-06-01 16:00:00.000000 +00:00,FR,"(542,0,436,,7251,32184,125,3761,,6896,,1744)",,entsoe.eu
